,date,ticker,TWEET
0,2021-08-22 06:56:39,TSM,@davidstocktrade $TSM is now sitting dead on support after the recent decline.  This stock needs to hold $107 support level next few days otherwise likely heading towards $100 or lower  https://t.co/p5RK5dKg5I
1,2021-08-20 22:37:46,FB,Anyone recall when $FB came public?  There was a lot of buzz around the IPO. It was met with both love &amp; hate. First few days started off being a disaster and even tanked after reporting 1st earnings report as public company.  Wonder if in a few years $HOOD gets a similar fate?  https://t.co/vnIPkhI4fb
2,2021-08-20 22:37:46,HOOD,Anyone recall when $FB came public?  There was a lot of buzz around the IPO. It was met with both love &amp; hate. First few days started off being a disaster and even tanked after reporting 1st earnings report as public company.  Wonder if in a few years $HOOD gets a similar fate?  https://t.co/vnIPkhI4fb
3,2021-08-18 22:47:29,HOOD,"If $HOOD wasn't reporting earnings after the close today, the stock looks to be setting up quite nicely here coming out of this wedge breakout.  Will be very interesting to see how this plays out. On PEG watch...  https://t.co/oygdL2HeTI"
4,2021-08-14 00:40:12,NVAX,$NVAX .... good relative strength into the close  https://t.co/kaUoxtfTlX
5,2021-08-13 22:03:12,AMD,$AMD finding some bids and standing out today in what is otherwise a weak tape...  https://t.co/D8ShsKIZ25
6,2021-08-13 00:14:27,NVAX,$NVAX ... starting to like what this stock is doing here...  Accumulation Volume patterns have been building in the stock last few days as it approaches some resistance.  First Targets: $300 to $330  https://t.co/QVnVErmtX1
7,2021-08-12 21:15:26,INO,$INO is quite speculative and volatile name but from a purely technical standpoint... this one appears to be trying to put in a bottom  https://t.co/j8RCtAqeSX
8,2021-08-21 06:11:19,LOKB,"📢 $LOKB - Navitas deadline extension  $LOKB Extends Tender Offer Related to Business Combination with Navitas Until 11:59 p.m., 🗓️September 17, 2021    https://t.co/Ao70vo8PRq"
9,2021-08-21 06:11:19,LOKB,"📢 $LOKB - Navitas deadline extension  $LOKB Extends Tender Offer Related to Business Combination with Navitas Until 11:59 p.m., 🗓️September 17, 2021    https://t.co/Ao70vo8PRq"
10,2021-08-20 19:27:09,MUDS,❌ $MUDS announces termination of merger agreement with Topps    https://t.co/mASyppkwXj
11,2021-08-20 19:24:52,STEM,"📢 $STEM warrant redemption  Stem Issues Notice of Redemption for Public Warrants  The last day of trading will be the immediately preceding trading day, which is expected to be🗓️Friday, September 17, 2021.   https://t.co/rlwm8PnvNP"
12,2021-08-20 04:23:46,THCA,@iknowYo04120480 @ajitosu $THCA has an upcoming meeting on September 28 to extend the deadline    https://t.co/WvsbpRjzpY
13,2021-08-19 02:12:27,NGAC,"🏁 $NGAC - Xos  ✅NextGen Acquisition Corporation Shareholders Approve Business Combination with Xos  $NGAC 🔜 $XOS 🗓️August 20, 2021   https://t.co/HqgGruhZ9M"
14,2021-08-19 02:12:27,NGAC,"🏁 $NGAC - Xos  ✅NextGen Acquisition Corporation Shareholders Approve Business Combination with Xos  $NGAC 🔜 $XOS 🗓️August 20, 2021   https://t.co/HqgGruhZ9M"
15,2021-08-19 02:12:27,XOS,"🏁 $NGAC - Xos  ✅NextGen Acquisition Corporation Shareholders Approve Business Combination with Xos  $NGAC 🔜 $XOS 🗓️August 20, 2021   https://t.co/HqgGruhZ9M"
16,2021-08-19 01:58:52,ACIC,"📢 $ACIC - Archer meeting to approve merger  🗓️September 14, 2021    https://t.co/ujSuiwWRYa"
17,2021-08-18 17:29:06,INDI,George Soros' latest investments include two deSPACs: $INDI and $OPEN  His current holdings: $OPEN $28M $INDI $23M   https://t.co/ob03yLHJWn
18,2021-08-18 17:29:06,OPEN,George Soros' latest investments include two deSPACs: $INDI and $OPEN  His current holdings: $OPEN $28M $INDI $23M   https://t.co/ob03yLHJWn
19,2021-08-18 17:29:06,OPEN,George Soros' latest investments include two deSPACs: $INDI and $OPEN  His current holdings: $OPEN $28M $INDI $23M   https://t.co/ob03yLHJWn
20,2021-08-18 17:29:06,INDI,George Soros' latest investments include two deSPACs: $INDI and $OPEN  His current holdings: $OPEN $28M $INDI $23M   https://t.co/ob03yLHJWn
21,2021-08-18 17:15:11,ADF,"📢 $ADF entered into a definitive agreement with Hagerty, automotive insurance platform.   💵Pro forma enterprise value of $3.13B  Press release:  https://t.co/txCMvU42pd  https://t.co/WdeUHoT6HD"
22,2021-08-12 01:38:14,NBA,"🏁 $NBA - Airspan Networks  ✅ $NBA Stockholders Approve Business Combination with Airspan Networks Inc.  🗓️Expected close: August 13, 2021   $NBA 🔜 $MIMO    https://t.co/OT5oIv3XEn"
23,2021-08-12 01:38:14,NBA,"🏁 $NBA - Airspan Networks  ✅ $NBA Stockholders Approve Business Combination with Airspan Networks Inc.  🗓️Expected close: August 13, 2021   $NBA 🔜 $MIMO    https://t.co/OT5oIv3XEn"
24,2021-08-12 01:38:14,NBA,"🏁 $NBA - Airspan Networks  ✅ $NBA Stockholders Approve Business Combination with Airspan Networks Inc.  🗓️Expected close: August 13, 2021   $NBA 🔜 $MIMO    https://t.co/OT5oIv3XEn"
25,2021-08-12 01:38:14,MIMO,"🏁 $NBA - Airspan Networks  ✅ $NBA Stockholders Approve Business Combination with Airspan Networks Inc.  🗓️Expected close: August 13, 2021   $NBA 🔜 $MIMO    https://t.co/OT5oIv3XEn"
26,2021-08-10 22:28:18,ROSS,📢 $ROSS is in talks with Gan Systems. producer of Gallium Nitride high power switching diodes and transistors for clean tech power conversion applications.   https://t.co/FVqNTmVR56
27,2021-08-10 15:43:49,ASAX,📢 $ASAX entered into a definitive agreement with HotelPlanner +  https://t.co/E6LqqIPQFI  💵Enterprise value $567M  The combined company will keep the HotelPlanner name after consummation.   $ASAX 🔜 $HOTP   https://t.co/uC52OQ5ixU
28,2021-08-10 15:43:49,ASAX,📢 $ASAX entered into a definitive agreement with HotelPlanner +  https://t.co/E6LqqIPQFI  💵Enterprise value $567M  The combined company will keep the HotelPlanner name after consummation.   $ASAX 🔜 $HOTP   https://t.co/uC52OQ5ixU
29,2021-08-10 15:43:49,HOTP,📢 $ASAX entered into a definitive agreement with HotelPlanner +  https://t.co/E6LqqIPQFI  💵Enterprise value $567M  The combined company will keep the HotelPlanner name after consummation.   $ASAX 🔜 $HOTP   https://t.co/uC52OQ5ixU
30,2021-08-06 16:37:50,CMLT,$CMLT entered into a definitive agreement with EQRx  💵Enterprise value of $3.65B  The transaction is expected to provide up to $1.8B in cash proceeds to EQRx    https://t.co/8oD1V1NivL
31,2021-08-05 21:39:44,PDAC,"🏁 $PDAC - Li-cycle   $PDAC Announces Shareholder Approval of Business Combination with Li-Cycle Corp. with Minimal Redemptions   📌11% of the total shares being redeemed  $PDAC 🔜 $LICY 🗓️August 10, 2021   https://t.co/Eyo6e89nVg"
32,2021-08-05 21:39:44,PDAC,"🏁 $PDAC - Li-cycle   $PDAC Announces Shareholder Approval of Business Combination with Li-Cycle Corp. with Minimal Redemptions   📌11% of the total shares being redeemed  $PDAC 🔜 $LICY 🗓️August 10, 2021   https://t.co/Eyo6e89nVg"
33,2021-08-05 21:39:44,PDAC,"🏁 $PDAC - Li-cycle   $PDAC Announces Shareholder Approval of Business Combination with Li-Cycle Corp. with Minimal Redemptions   📌11% of the total shares being redeemed  $PDAC 🔜 $LICY 🗓️August 10, 2021   https://t.co/Eyo6e89nVg"
34,2021-08-05 21:39:44,LICY,"🏁 $PDAC - Li-cycle   $PDAC Announces Shareholder Approval of Business Combination with Li-Cycle Corp. with Minimal Redemptions   📌11% of the total shares being redeemed  $PDAC 🔜 $LICY 🗓️August 10, 2021   https://t.co/Eyo6e89nVg"
35,2021-08-04 22:10:45,AN,$AN AutoNation kept the momentum  Adam is still adamant about the SELL rating.   $AN went from $60s to $110s during that 6-month period.  3/4  https://t.co/e2bzB1Dj0x
36,2021-08-04 22:10:45,AN,$AN AutoNation kept the momentum  Adam is still adamant about the SELL rating.   $AN went from $60s to $110s during that 6-month period.  3/4  https://t.co/e2bzB1Dj0x
37,2021-08-04 22:10:44,TSLA,"And he was pretty late to the $TSLA party 🗑️   As an analyst focusing on car industry, this is a pretty embarrassing performance 👇   2/4  https://t.co/uI5mBtILIH"
38,2021-08-04 22:10:43,MVST,Adam Jonas from Morgan Stanley started $MVST coverage at $6 price target.   Let's look at his performance in detail 👀  Same Adam Jonas gave a BUY rating to Fisker when it was trading at all time high at $28 $FSR 👇  1/4  https://t.co/79V6Ns7cyT
39,2021-08-04 22:10:43,FSR,Adam Jonas from Morgan Stanley started $MVST coverage at $6 price target.   Let's look at his performance in detail 👀  Same Adam Jonas gave a BUY rating to Fisker when it was trading at all time high at $28 $FSR 👇  1/4  https://t.co/79V6Ns7cyT
40,2021-08-03 23:08:10,SBII,"@Hereforthenew1 Can you check again? I'm seeing $SBII warrants up by +20%, should be today😄"
41,2021-08-03 23:04:39,SBII,"📢 $SBII is in talks with Hydrow, provider of a connected indoor rowing machines.   💵Deal is valued at around $1B   https://t.co/KSD63hahrp"
42,2021-08-02 20:50:58,LCID,$LCID S-1 filed 👇
43,2021-08-02 20:18:18,SNPR,"📢 $SNPR Volta   Merger meeting announced  🗓️August 25, 2021   https://t.co/7VTrGyrH9M"
44,2021-08-02 18:59:35,YSAC,📢 $YSAC entered into a definitive agreement with Sky Harbour LLC  💵$777M equity value   https://t.co/0F5q2wX7hp
45,2021-08-01 01:36:36,SKLZ,"@Ole87614752 True, but still affects the sentiment. Similar to price targets, they might not be on point or honest all the time, but they definitely affect the sentiment. There were also couple of lower price targets announced for $SKLZ in the last couple of weeks."
46,2021-08-01 01:33:04,SKLZ,"@Ole87614752 This is the expected process, nothing unusual. But for $SKLZ sentiment went south after ARK start selling"
47,2021-08-21 22:21:36,CHPT,All the #EV chargers in Central Park NYC are @ChargePointnet $CHPT. There are dozens of them.  https://t.co/KAZeRxcrAp
48,2021-08-20 19:36:45,NKLA,$NKLA
49,2021-08-20 19:36:04,PTRA,$PTRA
50,2021-08-20 19:30:08,MUDS,$MUDS
51,2021-08-20 18:18:12,MUDS,"MLB to part with Topps, strikes deal with Fanatics $MUDS  https://t.co/WxxdmwK353"
52,2021-08-20 18:05:53,MUDS,Fanatics strikes deal to become exclusive licensee for MLB cards. Not good for $MUDS  https://t.co/OUl8nwYFVG
53,2021-08-20 18:04:58,LCID,Is Lucid Preparing To Kick Off Of Air Dream Edition Deliveries? $LCID  https://t.co/CbOdPAUAyJ
54,2021-08-19 17:21:58,HGTY,Classic car insurer Hagerty to go public via SPAC in $3 billion deal. To be $HGTY  https://t.co/Gs83Eo8NgN
55,2021-08-19 17:20:49,SOFI,Daniel Loeb Hooks Up With SentinelOne and $SoFi in 2nd Quarter adds almost 29MM shares.   https://t.co/PUedWooGYM
56,2021-08-19 05:35:44,PTRA,@Spacul8r They have 3/4 of a billion in cash and same amount in back orders. They make products. I like $PTRA. Not advice. Just saying.  https://t.co/IOhysAhmDm
57,2021-08-19 00:04:02,SRNG,$SRNG / $DNA
58,2021-08-19 00:04:02,DNA,$SRNG / $DNA
59,2021-08-18 20:10:33,EVGO,EVgo launches new pricing plans and a rewards program $EVGO  https://t.co/xEWEgT30AF
60,2021-08-18 20:08:29,LCID,Lucid Group's (LCID) CEO Sets off a Wave of Speculation With His Jubilant Four-Fingered Gesture $LCID  https://t.co/lsVKhiigdb
61,2021-08-18 19:55:53,SOFI,SoFi Technologies: Why The Market Got It All Wrong (NASDAQ:SOFI) | Seeking Alpha $SOFI  https://t.co/i0gySy9gF8
62,2021-08-18 18:43:33,GOEV,EV startup Canoo is gearing up for production in Oklahoma factory $GOEV  https://t.co/shI9PE1GpZ
63,2021-08-17 04:21:42,PSTH,@Matt_A_Egan I posted another link. $PSTH
64,2021-08-17 04:11:16,PLTR,"Palantir Invests in More SPAC Companies, and Buys $51 Million in Gold Bars $PLTR  https://t.co/EoJHXf0fdQ"
65,2021-08-17 04:08:19,PTRA,Proterra Becomes Oversold (PTRA). No Shit! $PTRA. Added more today.   https://t.co/6cLoagxGoV
66,2021-08-16 21:54:08,PSFE,@HumbleandH Seems all the SPAC have been sold off. I like $PSFE long term. Hard to watch now
67,2021-08-16 20:48:10,DM,@HumbleandH Same with $DM
68,2021-08-16 20:37:33,SLCR,Donuts 🍩 $SLCR
69,2021-08-14 19:56:07,PTRA,Proterra and LG Energy Solution sign long-term battery cell supply agreement $PTRA  https://t.co/aXezv9iuOq
70,2021-08-17 18:48:11,RNW,@OfficialShawn @JulianKlymochko And yet since the DA all they have been doing is announcing positive long term agreements and accretive acquisitions. $RNW is the $NEE of India but buying at a valuation 10yrs ago.
71,2021-08-17 18:48:11,NEE,@OfficialShawn @JulianKlymochko And yet since the DA all they have been doing is announcing positive long term agreements and accretive acquisitions. $RNW is the $NEE of India but buying at a valuation 10yrs ago.
72,2021-08-17 18:46:31,RMGB,"@spacanpanman @JulianKlymochko $RMGB $RNW is not Romeo though and already has huge rev and very real long-lived valuable assets, and backed by Goldman Sachs. Lots of positive news since DA. Too many levered fast money hedge funds go in during this Q, tuck tailing."
73,2021-08-17 18:46:31,RNW,"@spacanpanman @JulianKlymochko $RMGB $RNW is not Romeo though and already has huge rev and very real long-lived valuable assets, and backed by Goldman Sachs. Lots of positive news since DA. Too many levered fast money hedge funds go in during this Q, tuck tailing."
74,2021-08-13 23:24:18,RMGB,"@Buy_N_Forget @Michaelrose102 Warrants are silly cheap, surprisingly, considering Renew’s current assets, growth &amp; leadership. No speculating on some futurist far-fetched spac widget with $RMGB, it is a high growth utility, the leader in the exact country growth oriented utility investors should be focused on"
75,2021-08-13 23:20:33,RMGB,"@Michaelrose102 @Buy_N_Forget Every spac merged, even the most garbage spac gets pushed through. Renew is high quality though. Not a spec maybe spac, it is a utility already lots rev + assets + growth. Big float, but likely bought by esg, India, utility etfs, &amp; big funds post merge. $RMGB is the $NEE of India"
76,2021-08-13 23:20:33,NEE,"@Michaelrose102 @Buy_N_Forget Every spac merged, even the most garbage spac gets pushed through. Renew is high quality though. Not a spec maybe spac, it is a utility already lots rev + assets + growth. Big float, but likely bought by esg, India, utility etfs, &amp; big funds post merge. $RMGB is the $NEE of India"
77,2021-08-11 02:35:10,RMGB,@Michaelrose102 @rob74301678 @ReNew_Power $RMGB Should be 20 to 30 a share within 12 months post merge. 40 to 70 by 2025
78,2021-08-10 22:29:36,SCPE,Like the market response so far to $SCPE with the merge &amp; lower float. Might be setting up for similar in $AHAC $HUMA with lower float after merge in two weeks. Maybe $RMGB as well though it is larger cap but Goldman will push it likely. All well priced deals with big upside
79,2021-08-10 22:29:36,AHAC,Like the market response so far to $SCPE with the merge &amp; lower float. Might be setting up for similar in $AHAC $HUMA with lower float after merge in two weeks. Maybe $RMGB as well though it is larger cap but Goldman will push it likely. All well priced deals with big upside
80,2021-08-10 22:29:36,HUMA,Like the market response so far to $SCPE with the merge &amp; lower float. Might be setting up for similar in $AHAC $HUMA with lower float after merge in two weeks. Maybe $RMGB as well though it is larger cap but Goldman will push it likely. All well priced deals with big upside
81,2021-08-10 22:29:36,RMGB,Like the market response so far to $SCPE with the merge &amp; lower float. Might be setting up for similar in $AHAC $HUMA with lower float after merge in two weeks. Maybe $RMGB as well though it is larger cap but Goldman will push it likely. All well priced deals with big upside
82,2021-08-10 22:24:25,SCPE,"@Plumpeo Market seems to like the $SCPE merge so far and since so many shares were already redeemed pre Apple awareness news, less shares in float and potentially less box shorting at unlock"
83,2021-08-10 22:06:02,RMGB,"$RMGB Renew Power to merge soon. One of the higher quality SPACs backed by Goldman. Largest renew power utility in India = great growth, easy to understand + implement business model. For those that like $STEM Renew has Climate Connect AI not talked about  https://t.co/pKhsFAVXMp"
84,2021-08-10 22:06:02,STEM,"$RMGB Renew Power to merge soon. One of the higher quality SPACs backed by Goldman. Largest renew power utility in India = great growth, easy to understand + implement business model. For those that like $STEM Renew has Climate Connect AI not talked about  https://t.co/pKhsFAVXMp"
85,2021-07-29 19:43:25,ASTS,"$ASTS good news, bad news. AST is now officially working with SpaceX so we can put the whole SpaceX Starlink as competition &amp; won’t work with AST to rest. But BW3 was scheduled for Oct-Dec 2021, but now Mar 2022, so a ~5 month push in final test &amp; phase 1 launch timelines = delay"
86,2021-07-21 06:04:20,GENI,"Sportradar was rumored to be valued at 10-12B for six months with IPO float, then 10B SPAC, then lose NFL &amp; all falls apart. $GENI when DMYD I had 25 PT on it, but now with NFL++ added, they are basically Sportradar &amp; more, so should be valued what Sportradar was rumored = $50-60"
87,2021-07-20 23:33:09,SOFI,@RonnieKStocks Bought initial position of $SOFI today as well
88,2021-08-20 21:38:54,VACQ,Bucking the trend...  Vector Acquisition Corp. $VACQ shareholders approve deal with @RocketLab with less than 3% of shareholder redeeming. A good vote.   https://t.co/er8Ar8chiS
89,2021-08-20 20:52:39,PSTH,"(1/2) Regarding $PSTH, this is what everyone is missing... $PSTH is saying they can't get a deal done with the lawsuit, so if you're holding the share or warrant, @BillAckman is telling you the lawsuit tie him up long enough that he'll have to liquidate. What he's proposing"
90,2021-08-20 20:52:39,PSTH,"(1/2) Regarding $PSTH, this is what everyone is missing... $PSTH is saying they can't get a deal done with the lawsuit, so if you're holding the share or warrant, @BillAckman is telling you the lawsuit tie him up long enough that he'll have to liquidate. What he's proposing"
91,2021-08-20 20:36:01,PSTH,"If you didn't catch it, @BillAckman is still seeking a SPARC structure and if approved, he will return everyone's $PSTH cash and issue you a warrant for the future SPARC. You can read it in the letter he posted on his website.   https://t.co/X7g7PpQrJJ"
92,2021-08-20 18:26:46,SV,And.....  Spring Valley $SV announced they have postponed their shareholder vote schedule for today to August 30th.   https://t.co/JzAF3gvruM
93,2021-08-20 18:06:07,CAHC,Active morning...  CA Healthcare Acquisition Corp. $CAHC recuts deal with LumiraDx.  Slashes valuation by 40%   https://t.co/58gQH7Hn4p
94,2021-08-20 17:05:52,MUDS,"Mudrick II $MUDS terminates deal with Topps!  Their vote was scheduled for Wednesday, August 25th, but in light of Topps losing their licensing agreement with MLB, it appears termination was preferable.   https://t.co/m5St5kbK19"
95,2021-08-19 17:33:20,PSTH,Does anyone else find it weird that Pershing Square Tontine $PSTH and @BillAckman are being sued for a deal that's not even happening? Read on to understand the real reasons behind it. #SPAC    https://t.co/k9SSGcZfZB
96,2021-08-18 17:31:39,IPVF,"Deal Announcement #2  InterPrivate III Financial Partners Inc $IPVF to combine with Aspiration Partners which ""offers an ecosystem of sustainable banking services, credit cards, &amp; investment products that help customers keep deposits out of fossil fuels   https://t.co/eq4zLO3BlT"
97,2021-08-18 17:05:16,ADF,"Deal Announcment  Aldel Financial Inc. $ADF to combine with Hagerty, ""an automotive enthusiast brand offering a specialty automotive insurance platform built upon a membership organization for car lovers"", for $3.13 bn. #SPAC    https://t.co/bZ8zVJzzp3"
98,2021-08-17 17:55:31,TWND,Tailwind Acquisition Corp. $TWND and QOMPLEX mutually terminate business combination agreement. Their vote was to be held today. #SPAC    https://t.co/HC3Z360m0F
99,2021-08-16 16:27:23,SLCR,Deal Announcement!  Silver Crest Acquisition Corp $SLCR to combine with Tim Horton's for an enterprise value of $1.8bn.   https://t.co/Tfj0G9Csje
100,2021-08-13 21:26:10,GRNV,"As I mentioned below...volatile.  $GRNV now at $23, up 180%.  Be careful though because once rights shares are delivered to accounts, the price should come down."
101,2021-08-13 17:25:42,MTAC,Medtech Acquisition Corp. $MTAC to combine with Memic Innovative Surgery for an equity value of $1 billion.  https://t.co/0gse8h34mr
102,2021-08-13 17:20:31,GRNV,Greenvision $GRNV and Helbiz closed their combination but they're going to have a very low float (at least temporarily).  Watch for volatility in the stock.     https://t.co/qIQXz1FN3R
103,2021-08-12 16:29:38,FRSG,Deal Announcement!  And it's another EV Charger!  First Reserve Sustainable Growth Corp. $FRSG to combine with EO Charging for $675 enterprise value. #SPAC    https://t.co/mOgx6NPip8
104,2021-08-11 21:53:44,SRAC,Stable Road $SRAC shareholder approve combo with Momentus and only ~20% of shareholder redeemed   https://t.co/5eDOnp9XSc
105,2021-08-11 16:59:02,EUSG,"Deal Announcement  European Sustainable Growth $EUSG to combine with ADS-TEC Energy GmbH, "" a global leader in battery buffered ultrafast charging technology"" for an equity value of $580 million.   https://t.co/gK8LAW7pW7"
106,2021-08-10 18:59:24,DKNG,"As a follow up to yesterday's $DKNG / $GNOG double SPAC action, the 3 Rocket Lab launches ( $VACQ) are for their client Black Sky, which is launching 6 satellites. Black Sky is the intended combo of Osprey Technology $SFTW. Another double dose of SPACs partnering #SPACclub 🚀🚀🚀"
107,2021-08-10 18:59:24,GNOG,"As a follow up to yesterday's $DKNG / $GNOG double SPAC action, the 3 Rocket Lab launches ( $VACQ) are for their client Black Sky, which is launching 6 satellites. Black Sky is the intended combo of Osprey Technology $SFTW. Another double dose of SPACs partnering #SPACclub 🚀🚀🚀"
108,2021-08-10 18:59:24,VACQ,"As a follow up to yesterday's $DKNG / $GNOG double SPAC action, the 3 Rocket Lab launches ( $VACQ) are for their client Black Sky, which is launching 6 satellites. Black Sky is the intended combo of Osprey Technology $SFTW. Another double dose of SPACs partnering #SPACclub 🚀🚀🚀"
109,2021-08-10 18:59:24,SFTW,"As a follow up to yesterday's $DKNG / $GNOG double SPAC action, the 3 Rocket Lab launches ( $VACQ) are for their client Black Sky, which is launching 6 satellites. Black Sky is the intended combo of Osprey Technology $SFTW. Another double dose of SPACs partnering #SPACclub 🚀🚀🚀"
110,2021-08-10 17:44:41,ENVI,"Deal Announcement #2  Environmental Impact Acq. Corp. $ENVI to combine with Greenlight Biosciences, a ""a biotechnology company dedicated to making ribonucleic acid (RNA) products affordable and accessible for human health and agriculture"" for $1.2 bn EV   https://t.co/6PS2TyP2U2"
111,2021-08-10 17:41:36,VACQ,"🚀🚀🚀 If you like rockets, Rocket Labs, which is combining with Vector Acquisition Corp. $VACQ, has three back-to-back launches scheduled starting in late August through September.     https://t.co/ukolkQt43T"
112,2021-08-10 16:53:54,ASAX,"Deal Announcement  Astrea Acquisition Corp. $ASAX to combine with HotelPlanner, a hotel and event booking technology platform, and  https://t.co/bpr7gQyxFB, a premier online travel agency, for an EV of $567 million.   https://t.co/usypsnED5m"
113,2021-08-09 17:51:59,MCMJ,"Deal Announcement #2  Merida Merger Corp. I $MCMJ to combine with Leafly, a ""a content-first, community-driven, three-sided marketplace that attracts the world's largest cannabis audience"" for an enterprise value of $385M   https://t.co/oraBfaU7JI"
114,2021-08-09 17:18:32,DKNG,DraftKings $DKNG to buy Golden Nugget Online $GNOG for $1.56 bn in an all-stock transaction.  Two de-SPACs combining! #SPAC   https://t.co/LwBNgtChIw
115,2021-08-09 17:18:32,GNOG,DraftKings $DKNG to buy Golden Nugget Online $GNOG for $1.56 bn in an all-stock transaction.  Two de-SPACs combining! #SPAC   https://t.co/LwBNgtChIw
