,date,ticker
0,2021-08-22 06:56:39,TSM
1,2021-08-20 22:37:46,FB
2,2021-08-20 22:37:46,HOOD
3,2021-08-18 22:47:29,HOOD
4,2021-08-14 00:40:12,NVAX
5,2021-08-13 22:03:12,AMD
6,2021-08-13 00:14:27,NVAX
7,2021-08-12 21:15:26,INO
8,2021-08-21 06:11:19,LOKB
9,2021-08-21 06:11:19,LOKB
10,2021-08-20 19:27:09,MUDS
11,2021-08-20 19:24:52,STEM
12,2021-08-20 04:23:46,THCA
13,2021-08-19 02:12:27,NGAC
14,2021-08-19 02:12:27,NGAC
15,2021-08-19 02:12:27,XOS
16,2021-08-19 01:58:52,ACIC
17,2021-08-18 17:29:06,INDI
18,2021-08-18 17:29:06,OPEN
19,2021-08-18 17:29:06,OPEN
20,2021-08-18 17:29:06,INDI
21,2021-08-18 17:15:11,ADF
22,2021-08-12 01:38:14,NBA
23,2021-08-12 01:38:14,NBA
24,2021-08-12 01:38:14,NBA
25,2021-08-12 01:38:14,MIMO
26,2021-08-10 22:28:18,ROSS
27,2021-08-10 15:43:49,ASAX
28,2021-08-10 15:43:49,ASAX
29,2021-08-10 15:43:49,HOTP
30,2021-08-06 16:37:50,CMLT
31,2021-08-05 21:39:44,PDAC
32,2021-08-05 21:39:44,PDAC
33,2021-08-05 21:39:44,PDAC
34,2021-08-05 21:39:44,LICY
35,2021-08-04 22:10:45,AN
36,2021-08-04 22:10:45,AN
37,2021-08-04 22:10:44,TSLA
38,2021-08-04 22:10:43,MVST
39,2021-08-04 22:10:43,FSR
40,2021-08-03 23:08:10,SBII
41,2021-08-03 23:04:39,SBII
42,2021-08-02 20:50:58,LCID
43,2021-08-02 20:18:18,SNPR
44,2021-08-02 18:59:35,YSAC
45,2021-08-01 01:36:36,SKLZ
46,2021-08-01 01:33:04,SKLZ
47,2021-08-21 22:21:36,CHPT
48,2021-08-20 19:36:45,NKLA
49,2021-08-20 19:36:04,PTRA
50,2021-08-20 19:30:08,MUDS
51,2021-08-20 18:18:12,MUDS
52,2021-08-20 18:05:53,MUDS
53,2021-08-20 18:04:58,LCID
54,2021-08-19 17:21:58,HGTY
55,2021-08-19 17:20:49,SOFI
56,2021-08-19 05:35:44,PTRA
57,2021-08-19 00:04:02,SRNG
58,2021-08-19 00:04:02,DNA
59,2021-08-18 20:10:33,EVGO
60,2021-08-18 20:08:29,LCID
61,2021-08-18 19:55:53,SOFI
62,2021-08-18 18:43:33,GOEV
63,2021-08-17 04:21:42,PSTH
64,2021-08-17 04:11:16,PLTR
65,2021-08-17 04:08:19,PTRA
66,2021-08-16 21:54:08,PSFE
67,2021-08-16 20:48:10,DM
68,2021-08-16 20:37:33,SLCR
69,2021-08-14 19:56:07,PTRA
70,2021-08-17 18:48:11,RNW
71,2021-08-17 18:48:11,NEE
72,2021-08-17 18:46:31,RMGB
73,2021-08-17 18:46:31,RNW
74,2021-08-13 23:24:18,RMGB
75,2021-08-13 23:20:33,RMGB
76,2021-08-13 23:20:33,NEE
77,2021-08-11 02:35:10,RMGB
78,2021-08-10 22:29:36,SCPE
79,2021-08-10 22:29:36,AHAC
80,2021-08-10 22:29:36,HUMA
81,2021-08-10 22:29:36,RMGB
82,2021-08-10 22:24:25,SCPE
83,2021-08-10 22:06:02,RMGB
84,2021-08-10 22:06:02,STEM
85,2021-07-29 19:43:25,ASTS
86,2021-07-21 06:04:20,GENI
87,2021-07-20 23:33:09,SOFI
88,2021-08-20 21:38:54,VACQ
89,2021-08-20 20:52:39,PSTH
90,2021-08-20 20:52:39,PSTH
91,2021-08-20 20:36:01,PSTH
92,2021-08-20 18:26:46,SV
93,2021-08-20 18:06:07,CAHC
94,2021-08-20 17:05:52,MUDS
95,2021-08-19 17:33:20,PSTH
96,2021-08-18 17:31:39,IPVF
97,2021-08-18 17:05:16,ADF
98,2021-08-17 17:55:31,TWND
99,2021-08-16 16:27:23,SLCR
100,2021-08-13 21:26:10,GRNV
101,2021-08-13 17:25:42,MTAC
102,2021-08-13 17:20:31,GRNV
103,2021-08-12 16:29:38,FRSG
104,2021-08-11 21:53:44,SRAC
105,2021-08-11 16:59:02,EUSG
106,2021-08-10 18:59:24,DKNG
107,2021-08-10 18:59:24,GNOG
108,2021-08-10 18:59:24,VACQ
109,2021-08-10 18:59:24,SFTW
110,2021-08-10 17:44:41,ENVI
111,2021-08-10 17:41:36,VACQ
112,2021-08-10 16:53:54,ASAX
113,2021-08-09 17:51:59,MCMJ
114,2021-08-09 17:18:32,DKNG
115,2021-08-09 17:18:32,GNOG
116,2021-08-06 16:47:32,MCAQ
117,2021-08-06 16:39:18,CMLT
118,2021-08-05 18:23:34,GCAC
119,2021-08-04 16:47:50,FTAA
120,2021-08-03 01:41:31,VPCB
121,2021-08-02 18:57:37,YSAC
122,2021-08-20 21:55:49,BBIG
123,2021-08-18 18:42:50,PMCB
124,2021-08-17 18:58:44,VRPX
125,2021-08-22 07:25:13,CROX
126,2021-08-22 05:11:52,WEN
127,2021-08-22 04:48:21,DPZ
128,2021-08-22 03:43:50,NVDA
129,2021-08-22 02:51:02,EBAY
130,2021-08-21 23:50:44,REAL
131,2021-08-21 21:47:27,ARKR
132,2021-08-21 21:47:27,SWAV
133,2021-08-21 21:47:27,MRNA
134,2021-08-21 00:13:01,NVDA
135,2021-08-20 23:02:25,AAPL
136,2021-08-20 21:10:34,NVDA
137,2021-08-20 19:45:51,UNH
138,2021-08-20 19:34:05,UNH
139,2021-08-20 19:31:14,FUTU
140,2021-08-20 01:12:00,UNH
141,2021-08-19 23:50:00,M
142,2021-08-19 21:55:21,HOOD
143,2021-08-18 00:53:32,UNH
144,2021-08-17 23:56:37,AAPL
145,2021-08-17 19:50:09,UPST
146,2021-08-17 19:49:31,UNH
147,2021-08-17 19:46:29,UNH
148,2021-08-17 19:46:08,SPY
149,2021-08-17 19:09:17,AAPL
150,2021-08-17 08:00:13,AAPL
151,2021-08-17 07:51:49,RL
152,2021-08-17 07:51:49,LVYMH
153,2021-08-17 06:08:35,UNH
154,2021-08-17 00:16:28,AAPL
155,2021-08-16 23:09:21,AAPL
156,2021-08-16 23:01:05,COST
157,2021-08-16 21:48:24,AAPL
158,2021-08-16 20:44:54,AAPL
159,2021-08-16 05:41:43,AAPL
160,2021-08-16 02:59:57,CVNA
161,2021-08-16 01:53:38,APPL
162,2021-08-16 01:34:39,COST
163,2021-08-15 23:37:48,COST
164,2021-08-15 10:24:49,SOFI
165,2021-08-15 08:33:34,SOFI
166,2021-08-15 04:18:14,NVDA
167,2021-08-15 04:18:14,WMT
168,2021-08-15 04:18:14,TGT
169,2021-08-15 04:18:14,HD
170,2021-08-15 04:18:14,RBLX
171,2021-08-15 04:18:14,AMAT
172,2021-08-15 04:18:14,UWMC
173,2021-08-15 04:18:14,NIU
174,2021-08-15 04:18:14,LOW
175,2021-08-15 04:18:14,RAIL
176,2021-08-15 04:18:14,CSCO
177,2021-08-15 04:18:14,M
178,2021-08-15 04:18:14,TJX
179,2021-08-15 04:18:14,DE
180,2021-08-15 04:18:14,OEG
181,2021-08-15 04:18:14,KSS
182,2021-08-15 04:18:14,POWW
183,2021-08-15 04:18:14,BILI
184,2021-08-15 04:18:14,ZIM
185,2021-08-15 04:18:14,A
186,2021-08-15 04:18:14,EL
187,2021-08-15 04:18:14,ADI
188,2021-08-15 04:18:14,GRUB
189,2021-08-15 04:18:14,DQ
190,2021-08-15 04:18:14,FUV
191,2021-08-15 04:18:14,FL
192,2021-08-15 04:18:14,EAT
193,2021-08-15 03:03:22,MRNA
194,2021-08-15 03:03:22,NVAX
195,2021-08-15 03:03:22,PFE
196,2021-08-15 03:03:22,BNTX
197,2021-08-15 03:03:22,JNJ
198,2021-08-15 03:03:22,AZN
199,2021-08-15 02:56:45,ATKR
200,2021-08-15 02:56:45,INMD
201,2021-08-15 02:56:45,FRHC
202,2021-08-14 23:23:18,UPST
203,2021-08-22 02:00:47,MSFT
204,2021-08-21 23:44:55,BTC
205,2021-08-21 02:31:24,MSFT
206,2021-08-21 02:06:01,AMZN
207,2021-08-21 02:06:01,CHWY
208,2021-08-21 02:06:01,FB
209,2021-08-21 02:06:01,SHOP
210,2021-08-21 02:06:01,SNAP
211,2021-08-20 22:08:29,MSFT
212,2021-08-20 21:25:57,SHOP
213,2021-08-20 21:18:17,SHOP
214,2021-08-20 19:56:56,CHWY
215,2021-08-20 19:49:57,SNAP
216,2021-08-20 19:44:53,MSFT
217,2021-08-20 19:39:32,MSFT
218,2021-08-20 19:19:08,MSFT
219,2021-08-20 03:33:02,AMZN
220,2021-08-20 03:33:02,CHWY
221,2021-08-20 03:33:02,FB
222,2021-08-20 03:33:02,SHOP
223,2021-08-20 03:33:02,SNAP
224,2021-08-19 21:32:04,AAPL
225,2021-08-19 19:38:14,BABA
226,2021-08-19 19:32:16,SPY
227,2021-08-19 03:26:47,SPY
228,2021-08-19 03:26:47,VIX
229,2021-08-19 01:35:23,SPY
230,2021-08-18 22:11:16,PLTR
231,2021-08-18 22:09:19,SNAP
232,2021-08-18 21:16:00,MSFT
233,2021-08-18 20:59:37,AAPL
234,2021-08-18 20:57:03,AAPL
235,2021-08-18 20:28:07,RBLX
236,2021-08-18 20:13:53,SNAP
237,2021-08-18 20:08:57,PLTR
238,2021-08-18 20:02:50,AMZN
239,2021-08-18 19:32:03,PFE
240,2021-08-18 19:19:49,TSM
241,2021-08-18 03:20:01,SNAP
242,2021-08-18 00:57:51,CRWD
243,2021-08-18 00:48:30,CRWD
244,2021-08-17 22:00:18,AAPL
245,2021-08-17 20:46:43,SPY
246,2021-08-17 20:46:43,VIX
247,2021-08-17 09:30:18,FB
248,2021-08-17 09:13:09,GOOGL
249,2021-08-17 08:58:27,SHOP
250,2021-08-17 08:43:21,MU
251,2021-08-17 04:50:53,AAPL
252,2021-08-17 04:50:52,AAPL
253,2021-08-17 00:47:14,FB
254,2021-08-17 00:25:44,MSFT
255,2021-08-16 23:41:54,GOOGL
256,2021-08-16 23:37:57,AMZN
257,2021-08-16 23:20:56,AAPL
258,2021-08-16 22:10:41,V
259,2021-08-16 20:29:22,QQQ
260,2021-08-16 19:48:44,QQQ
261,2021-08-16 19:11:00,AAPL
262,2021-08-16 07:34:17,AAPL
263,2021-08-16 07:34:17,FB
264,2021-08-16 07:34:17,PENN
265,2021-08-16 07:34:17,PLTR
266,2021-08-16 07:34:17,TSLA
267,2021-08-16 07:34:17,QQQ
268,2021-08-16 00:45:00,MSFT
269,2021-08-15 23:53:04,AAPL
270,2021-08-15 04:24:18,FUBO
271,2021-08-15 03:43:01,AMAT
