,Unnamed: 0,date,ticker,TWEET,Vader Sentiment,Vader Analysis
72,72,2021-08-17 18:46:31,RMGB,"@spacanpanman @JulianKlymochko $RMGB $RNW is not Romeo though and already has huge rev and very real long-lived valuable assets, and backed by Goldman Sachs. Lots of positive news since DA. Too many levered fast money hedge funds go in during this Q, tuck tailing.",0.8768,Positive
73,73,2021-08-17 18:46:31,RNW,"@spacanpanman @JulianKlymochko $RMGB $RNW is not Romeo though and already has huge rev and very real long-lived valuable assets, and backed by Goldman Sachs. Lots of positive news since DA. Too many levered fast money hedge funds go in during this Q, tuck tailing.",0.8768,Positive
74,74,2021-08-13 23:24:18,RMGB,"@Buy_N_Forget @Michaelrose102 Warrants are silly cheap, surprisingly, considering Renewâ€™s current assets, growth &amp; leadership. No speculating on some futurist far-fetched spac widget with $RMGB, it is a high growth utility, the leader in the exact country growth oriented utility investors should be focused on",0.8807,Positive
75,75,2021-08-13 23:20:33,RMGB,"@Michaelrose102 @Buy_N_Forget Every spac merged, even the most garbage spac gets pushed through. Renew is high quality though. Not a spec maybe spac, it is a utility already lots rev + assets + growth. Big float, but likely bought by esg, India, utility etfs, &amp; big funds post merge. $RMGB is the $NEE of India",0.2846,Neutral
76,76,2021-08-13 23:20:33,NEE,"@Michaelrose102 @Buy_N_Forget Every spac merged, even the most garbage spac gets pushed through. Renew is high quality though. Not a spec maybe spac, it is a utility already lots rev + assets + growth. Big float, but likely bought by esg, India, utility etfs, &amp; big funds post merge. $RMGB is the $NEE of India",0.2846,Neutral
77,77,2021-08-11 02:35:10,RMGB,@Michaelrose102 @rob74301678 @ReNew_Power $RMGB Should be 20 to 30 a share within 12 months post merge. 40 to 70 by 2025,0.296,Neutral
78,78,2021-08-10 22:29:36,SCPE,Like the market response so far to $SCPE with the merge &amp; lower float. Might be setting up for similar in $AHAC $HUMA with lower float after merge in two weeks. Maybe $RMGB as well though it is larger cap but Goldman will push it likely. All well priced deals with big upside,0.4118,Neutral
79,79,2021-08-10 22:29:36,AHAC,Like the market response so far to $SCPE with the merge &amp; lower float. Might be setting up for similar in $AHAC $HUMA with lower float after merge in two weeks. Maybe $RMGB as well though it is larger cap but Goldman will push it likely. All well priced deals with big upside,0.4118,Neutral
80,80,2021-08-10 22:29:36,HUMA,Like the market response so far to $SCPE with the merge &amp; lower float. Might be setting up for similar in $AHAC $HUMA with lower float after merge in two weeks. Maybe $RMGB as well though it is larger cap but Goldman will push it likely. All well priced deals with big upside,0.4118,Neutral
81,81,2021-08-10 22:29:36,RMGB,Like the market response so far to $SCPE with the merge &amp; lower float. Might be setting up for similar in $AHAC $HUMA with lower float after merge in two weeks. Maybe $RMGB as well though it is larger cap but Goldman will push it likely. All well priced deals with big upside,0.4118,Neutral
82,82,2021-08-10 22:24:25,SCPE,"@Plumpeo Market seems to like the $SCPE merge so far and since so many shares were already redeemed pre Apple awareness news, less shares in float and potentially less box shorting at unlock",0.8012,Positive
83,83,2021-08-10 22:06:02,RMGB,"$RMGB Renew Power to merge soon. One of the higher quality SPACs backed by Goldman. Largest renew power utility in India = great growth, easy to understand + implement business model. For those that like $STEM Renew has Climate Connect AI not talked about  https://t.co/pKhsFAVXMp",0.9042,Positive
84,84,2021-08-10 22:06:02,STEM,"$RMGB Renew Power to merge soon. One of the higher quality SPACs backed by Goldman. Largest renew power utility in India = great growth, easy to understand + implement business model. For those that like $STEM Renew has Climate Connect AI not talked about  https://t.co/pKhsFAVXMp",0.9042,Positive
85,85,2021-07-29 19:43:25,ASTS,"$ASTS good news, bad news. AST is now officially working with SpaceX so we can put the whole SpaceX Starlink as competition &amp; wonâ€™t work with AST to rest. But BW3 was scheduled for Oct-Dec 2021, but now Mar 2022, so a ~5 month push in final test &amp; phase 1 launch timelines = delay",-0.5023,Negative
86,86,2021-07-21 06:04:20,GENI,"Sportradar was rumored to be valued at 10-12B for six months with IPO float, then 10B SPAC, then lose NFL &amp; all falls apart. $GENI when DMYD I had 25 PT on it, but now with NFL++ added, they are basically Sportradar &amp; more, so should be valued what Sportradar was rumored = $50-60",0.6537,Positive
87,87,2021-07-20 23:33:09,SOFI,@RonnieKStocks Bought initial position of $SOFI today as well,0.2732,Neutral
88,88,2021-08-20 21:38:54,VACQ,Bucking the trend...  Vector Acquisition Corp. $VACQ shareholders approve deal with @RocketLab with less than 3% of shareholder redeeming. A good vote.   https://t.co/er8Ar8chiS,0.4404,Neutral
89,89,2021-08-20 20:52:39,PSTH,"(1/2) Regarding $PSTH, this is what everyone is missing... $PSTH is saying they can't get a deal done with the lawsuit, so if you're holding the share or warrant, @BillAckman is telling you the lawsuit tie him up long enough that he'll have to liquidate. What he's proposing",-0.4215,Neutral
90,90,2021-08-20 20:52:39,PSTH,"(1/2) Regarding $PSTH, this is what everyone is missing... $PSTH is saying they can't get a deal done with the lawsuit, so if you're holding the share or warrant, @BillAckman is telling you the lawsuit tie him up long enough that he'll have to liquidate. What he's proposing",-0.4215,Neutral
91,91,2021-08-20 20:36:01,PSTH,"If you didn't catch it, @BillAckman is still seeking a SPARC structure and if approved, he will return everyone's $PSTH cash and issue you a warrant for the future SPARC. You can read it in the letter he posted on his website.   https://t.co/X7g7PpQrJJ",0.4215,Neutral
92,92,2021-08-20 18:26:46,SV,And.....  Spring Valley $SV announced they have postponed their shareholder vote schedule for today to August 30th.   https://t.co/JzAF3gvruM,-0.2023,Neutral
93,93,2021-08-20 18:06:07,CAHC,Active morning...  CA Healthcare Acquisition Corp. $CAHC recuts deal with LumiraDx.  Slashes valuation by 40%   https://t.co/58gQH7Hn4p,0.2263,Neutral
94,94,2021-08-20 17:05:52,MUDS,"Mudrick II $MUDS terminates deal with Topps!  Their vote was scheduled for Wednesday, August 25th, but in light of Topps losing their licensing agreement with MLB, it appears termination was preferable.   https://t.co/m5St5kbK19",0.2942,Neutral
95,95,2021-08-19 17:33:20,PSTH,Does anyone else find it weird that Pershing Square Tontine $PSTH and @BillAckman are being sued for a deal that's not even happening? Read on to understand the real reasons behind it. #SPAC    https://t.co/k9SSGcZfZB,-0.1779,Neutral
96,96,2021-08-18 17:31:39,IPVF,"Deal Announcement #2  InterPrivate III Financial Partners Inc $IPVF to combine with Aspiration Partners which ""offers an ecosystem of sustainable banking services, credit cards, &amp; investment products that help customers keep deposits out of fossil fuels   https://t.co/eq4zLO3BlT",0.6486,Positive
97,97,2021-08-18 17:05:16,ADF,"Deal Announcment  Aldel Financial Inc. $ADF to combine with Hagerty, ""an automotive enthusiast brand offering a specialty automotive insurance platform built upon a membership organization for car lovers"", for $3.13 bn. #SPAC    https://t.co/bZ8zVJzzp3",0.7096,Positive
98,98,2021-08-17 17:55:31,TWND,Tailwind Acquisition Corp. $TWND and QOMPLEX mutually terminate business combination agreement. Their vote was to be held today. #SPAC    https://t.co/HC3Z360m0F,0.4939,Neutral
99,99,2021-08-16 16:27:23,SLCR,Deal Announcement!  Silver Crest Acquisition Corp $SLCR to combine with Tim Horton's for an enterprise value of $1.8bn.   https://t.co/Tfj0G9Csje,0.4003,Neutral
100,100,2021-08-13 21:26:10,GRNV,"As I mentioned below...volatile.  $GRNV now at $23, up 180%.  Be careful though because once rights shares are delivered to accounts, the price should come down.",0.4215,Neutral
101,101,2021-08-13 17:25:42,MTAC,Medtech Acquisition Corp. $MTAC to combine with Memic Innovative Surgery for an equity value of $1 billion.  https://t.co/0gse8h34mr,0.6486,Positive
102,102,2021-08-13 17:20:31,GRNV,Greenvision $GRNV and Helbiz closed their combination but they're going to have a very low float (at least temporarily).  Watch for volatility in the stock.     https://t.co/qIQXz1FN3R,-0.4748,Neutral
103,103,2021-08-12 16:29:38,FRSG,Deal Announcement!  And it's another EV Charger!  First Reserve Sustainable Growth Corp. $FRSG to combine with EO Charging for $675 enterprise value. #SPAC    https://t.co/mOgx6NPip8,0.6792,Positive
104,104,2021-08-11 21:53:44,SRAC,Stable Road $SRAC shareholder approve combo with Momentus and only ~20% of shareholder redeemed   https://t.co/5eDOnp9XSc,0.5423,Positive
105,105,2021-08-11 16:59:02,EUSG,"Deal Announcement  European Sustainable Growth $EUSG to combine with ADS-TEC Energy GmbH, "" a global leader in battery buffered ultrafast charging technology"" for an equity value of $580 million.   https://t.co/gK8LAW7pW7",0.7269,Positive
106,106,2021-08-10 18:59:24,DKNG,"As a follow up to yesterday's $DKNG / $GNOG double SPAC action, the 3 Rocket Lab launches ( $VACQ) are for their client Black Sky, which is launching 6 satellites. Black Sky is the intended combo of Osprey Technology $SFTW. Another double dose of SPACs partnering #SPACclub ğŸš€ğŸš€ğŸš€",0.0,Neutral
107,107,2021-08-10 18:59:24,GNOG,"As a follow up to yesterday's $DKNG / $GNOG double SPAC action, the 3 Rocket Lab launches ( $VACQ) are for their client Black Sky, which is launching 6 satellites. Black Sky is the intended combo of Osprey Technology $SFTW. Another double dose of SPACs partnering #SPACclub ğŸš€ğŸš€ğŸš€",0.0,Neutral
108,108,2021-08-10 18:59:24,VACQ,"As a follow up to yesterday's $DKNG / $GNOG double SPAC action, the 3 Rocket Lab launches ( $VACQ) are for their client Black Sky, which is launching 6 satellites. Black Sky is the intended combo of Osprey Technology $SFTW. Another double dose of SPACs partnering #SPACclub ğŸš€ğŸš€ğŸš€",0.0,Neutral
109,109,2021-08-10 18:59:24,SFTW,"As a follow up to yesterday's $DKNG / $GNOG double SPAC action, the 3 Rocket Lab launches ( $VACQ) are for their client Black Sky, which is launching 6 satellites. Black Sky is the intended combo of Osprey Technology $SFTW. Another double dose of SPACs partnering #SPACclub ğŸš€ğŸš€ğŸš€",0.0,Neutral
110,110,2021-08-10 17:44:41,ENVI,"Deal Announcement #2  Environmental Impact Acq. Corp. $ENVI to combine with Greenlight Biosciences, a ""a biotechnology company dedicated to making ribonucleic acid (RNA) products affordable and accessible for human health and agriculture"" for $1.2 bn EV   https://t.co/6PS2TyP2U2",0.4588,Neutral
111,111,2021-08-10 17:41:36,VACQ,"ğŸš€ğŸš€ğŸš€ If you like rockets, Rocket Labs, which is combining with Vector Acquisition Corp. $VACQ, has three back-to-back launches scheduled starting in late August through September.     https://t.co/ukolkQt43T",0.3612,Neutral
112,112,2021-08-10 16:53:54,ASAX,"Deal Announcement  Astrea Acquisition Corp. $ASAX to combine with HotelPlanner, a hotel and event booking technology platform, and  https://t.co/bpr7gQyxFB, a premier online travel agency, for an EV of $567 million.   https://t.co/usypsnED5m",0.0,Neutral
113,113,2021-08-09 17:51:59,MCMJ,"Deal Announcement #2  Merida Merger Corp. I $MCMJ to combine with Leafly, a ""a content-first, community-driven, three-sided marketplace that attracts the world's largest cannabis audience"" for an enterprise value of $385M   https://t.co/oraBfaU7JI",0.6249,Positive
114,114,2021-08-09 17:18:32,DKNG,DraftKings $DKNG to buy Golden Nugget Online $GNOG for $1.56 bn in an all-stock transaction.  Two de-SPACs combining! #SPAC   https://t.co/LwBNgtChIw,0.0,Neutral
115,115,2021-08-09 17:18:32,GNOG,DraftKings $DKNG to buy Golden Nugget Online $GNOG for $1.56 bn in an all-stock transaction.  Two de-SPACs combining! #SPAC   https://t.co/LwBNgtChIw,0.0,Neutral
116,116,2021-08-06 16:47:32,MCAQ,"Friday's Top 3 SPAC Targets is out now!  This week's focus is on AdTech, which has been a hot sector lately with $MCAQ recently announcing it's deal with Adtheorent. Give it a read to see what other companies might be in play @SPAC_Sozzi @ClaytonNicholas    https://t.co/5DUQToCIOA",0.5411,Positive
117,117,2021-08-06 16:39:18,CMLT,"Deal Announcement!  CM Life Sciences III $CMLT to combine with EQRx, ""a pharmaceutical company committed to developing and delivering important new medicines to patients at radically lower prices"" for $3.65 billion EV.   https://t.co/B7gMCm0lMj",0.2481,Neutral
118,118,2021-08-05 18:23:34,GCAC,"Deal Announcement!  Growth Capital Acquisition Corp $GCAC to combine with Cepton, a maker of ""high performance MMTÂ® lidar solutions"", for $1.5 billion.   https://t.co/2NYLzkWAI4",0.5562,Positive
119,119,2021-08-04 16:47:50,FTAA,"Deal Announcement  FTAC Athena $FTAA to combine with Pico, a Provider of Technology Solutions for the Global Financial Markets Community, for $1.4 billion   https://t.co/42Wi1SM356",0.1779,Neutral
120,120,2021-08-03 01:41:31,VPCB,"Later afternoon deal announcement!  VPC Impact Acquisition Holdings II $VPCB to combine with Kredivo, an AI-enabled digital consumer credit platform in Southeast Asia, for an EV of $2.5 bn.   https://t.co/zPLBSav71x",0.4389,Neutral
121,121,2021-08-02 18:57:37,YSAC,"Late morning deal announcement!  Yellowstone Acquisition Company $YSAC to combine with Sky Harbour, a developer of private aviation infrastructure, for an implied equity value of $777 million   https://t.co/xToUBNsx76",0.4003,Neutral
122,122,2021-08-20 21:55:49,BBIG,$BBIG 08/20 09:23 AM ZING BBIG EXCLUSIVE: Zash Chair Calls $5B Valuation For Lomotif 'Conservative',0.3034,Neutral
123,123,2021-08-18 18:42:50,PMCB,Watch $PMCB for a flush,0.0,Neutral
124,124,2021-08-17 18:58:44,VRPX,Watch $VRPX for a flush too,0.0,Neutral
